date,station,swe_name,lat_name,count,factor
2010-05-28,Eskilstuna,Ek,Quercus,6,1.2
2010-05-28,Eskilstuna,Sälg och viden,Salix,1,1.2
2010-05-29,Eskilstuna,Björk,Betula,1,1.2
2010-05-29,Eskilstuna,Gräs,Poaceae,2,1.2
2010-05-29,Eskilstuna,Ek,Quercus,12,1.2
2010-05-29,Eskilstuna,Sälg och viden,Salix,2,1.2
2010-05-28,Jönköping,Björk,Betula,2,1.2
2010-05-28,Jönköping,Gräs,Poaceae,1,1.2
2010-05-28,Jönköping,Ek,Quercus,29,1.2
2010-05-28,Jönköping,Sälg och viden,Salix,5,1.2
2010-05-29,Jönköping,Björk,Betula,8,1.2
2010-05-29,Jönköping,Gräs,Poaceae,1,1.2
2010-05-29,Jönköping,Ek,Quercus,57,1.2
2010-05-29,Jönköping,Sälg och viden,Salix,13,1.2
2010-05-30,Jönköping,Björk,Betula,3,1.2
2010-05-30,Jönköping,Ek,Quercus,121,1.2
2010-05-30,Jönköping,Sälg och viden,Salix,6,1.2
2010-05-28,Västervik,Björk,Betula,6,1.25
2010-05-28,Västervik,Ek,Quercus,167,1.25
2010-05-28,Västervik,Sälg och viden,Salix,1,1.25
2010-05-28,Västervik,Gräs,Poaceae,1,1.25
2010-05-29,Västervik,Björk,Betula,1,1.25
2010-05-29,Västervik,Ek,Quercus,42,1.25
2010-05-29,Västervik,Sälg och viden,Salix,3,1.25
2010-05-30,Västervik,Björk,Betula,2,1.25
2010-05-30,Västervik,Ek,Quercus,70,1.25
2010-05-31,Stockholm,Björk,Betula,5,1.2
2010-05-31,Stockholm,Gräs,Poaceae,1,1.2
2010-05-31,Stockholm,Ek,Quercus,43,1.2
2010-05-30,Eskilstuna,Björk,Betula,6,1.2
2010-05-30,Eskilstuna,Ek,Quercus,11,1.2
2010-05-31,Eskilstuna,Björk,Betula,4,1.2
2010-05-31,Eskilstuna,Gräs,Poaceae,1,1.2
2010-05-31,Eskilstuna,Ek,Quercus,8,1.2
2010-06-01,Stockholm,Al,Alnus,1,1.2
2010-06-01,Stockholm,Björk,Betula,10,1.2
2010-06-01,Stockholm,Ek,Quercus,23,1.2
2010-06-01,Stockholm,Sälg och viden,Salix,2,1.2
2010-05-31,Jönköping,Björk,Betula,4,1.2
2010-05-31,Jönköping,Gräs,Poaceae,12,1.2
2010-05-31,Jönköping,Ek,Quercus,210,1.2
2010-05-31,Jönköping,Sälg och viden,Salix,17,1.2
2010-06-01,Jönköping,Björk,Betula,9,1.2
2010-06-01,Jönköping,Gräs,Poaceae,29,1.2
2010-06-01,Jönköping,Ek,Quercus,68,1.2
2010-05-31,Norrköping,Gräs,Poaceae,9,1.2
2010-05-31,Norrköping,Ek,Quercus,28,1.2
2010-06-01,Norrköping,Björk,Betula,5,1.2
2010-06-01,Norrköping,Gräs,Poaceae,18,1.2
2010-06-01,Norrköping,Ek,Quercus,14,1.2
2010-05-31,Västervik,Björk,Betula,3,1.25
2010-05-31,Västervik,Gräs,Poaceae,3,1.25
2010-05-31,Västervik,Ek,Quercus,112,1.25
2010-06-01,Västervik,Björk,Betula,2,1.25
2010-06-01,Västervik,Ek,Quercus,81,1.25
2010-06-01,Eskilstuna,Björk,Betula,14,1.2
2010-06-01,Eskilstuna,Gräs,Poaceae,3,1.2
2010-06-02,Stockholm,Björk,Betula,5,1.2
2010-06-02,Stockholm,Gräs,Poaceae,5,1.2
2010-06-02,Stockholm,Ek,Quercus,11,1.2
2010-06-02,Eskilstuna,Björk,Betula,11,1.2
2010-06-02,Eskilstuna,Gräs,Poaceae,4,1.2
2010-06-03,Stockholm,Al,Alnus,2,1.2
2010-06-03,Stockholm,Björk,Betula,10,1.2
2010-06-03,Stockholm,Gräs,Poaceae,8,1.2
2010-06-03,Stockholm,Ek,Quercus,28,1.2
2010-06-02,Jönköping,Björk,Betula,10,1.2
2010-06-02,Jönköping,Gräs,Poaceae,5,1.2
2010-06-02,Jönköping,Ek,Quercus,151,1.2
2010-06-02,Jönköping,Sälg och viden,Salix,6,1.2
2010-06-03,Jönköping,Björk,Betula,3,1.2
2010-06-03,Jönköping,Gräs,Poaceae,6,1.2
2010-06-03,Jönköping,Ek,Quercus,104,1.2
2010-06-02,Västervik,Björk,Betula,9,1.25
2010-06-02,Västervik,Ek,Quercus,59,1.25
2010-06-03,Västervik,Björk,Betula,3,1.25
2010-06-03,Västervik,Gräs,Poaceae,3,1.25
2010-06-03,Västervik,Ek,Quercus,17,1.25
2010-06-04,Stockholm,Björk,Betula,2,1.2
2010-06-04,Stockholm,Gräs,Poaceae,2,1.2
2010-06-04,Stockholm,Ek,Quercus,4,1.2
2010-06-05,Stockholm,Björk,Betula,5,1.2
2010-06-05,Stockholm,Gräs,Poaceae,5,1.2
2010-06-05,Stockholm,Ek,Quercus,3,1.2
2010-06-06,Stockholm,Björk,Betula,1,1.2
2010-06-06,Stockholm,Gräs,Poaceae,1,1.2
2010-06-06,Stockholm,Ek,Quercus,4,1.2
2010-06-03,Eskilstuna,Björk,Betula,9,1.2
